Strategy,Event Date,Auction Series,Series,Entry Date,Exit Date,Entry Close,Exit Close,Return (%),Basket Avg Return (%),Rate (%),Forecast (%),Previous (%)
A_Auctions,2026-03-25,26230,26240,2026-03-23,2026-03-30,63.022,62.649,-0.5918568119069545,-0.3659434838583997,,,
A_Auctions,2026-03-25,26230,26244,2026-03-23,2026-03-30,86.799,86.714,-0.09792739547691554,-0.3659434838583997,,,
A_Auctions,2026-03-25,26230,26245,2026-03-23,2026-03-30,88.914,88.789,-0.14058528465707987,-0.3659434838583997,,,
A_Auctions,2026-03-25,26230,26249,2026-03-23,2026-03-30,87.788,87.984,0.22326513874333376,-0.3659434838583997,,,
A_Auctions,2026-03-25,26245,26230,2026-03-23,2026-03-30,63.475,62.837,-1.005120126033865,-0.3659434838583997,,,
A_Auctions,2026-03-25,26245,26238,2026-03-23,2026-03-30,59.818,59.469,-0.5834364238189171,-0.3659434838583997,,,
A_Auctions,2026-03-25,26245,26240,2026-03-23,2026-03-30,63.022,62.649,-0.5918568119069545,-0.3659434838583997,,,
A_Auctions,2026-03-25,26245,26244,2026-03-23,2026-03-30,86.799,86.714,-0.09792739547691554,-0.3659434838583997,,,
A_Auctions,2026-03-25,26245,26245,2026-03-23,2026-03-30,88.914,88.789,-0.14058528465707987,-0.3659434838583997,,,
A_Auctions,2026-03-25,26245,26249,2026-03-23,2026-03-30,87.788,87.984,0.22326513874333376,-0.3659434838583997,,,
A_Auctions,2026-04-01,26249,26230,2026-03-30,2026-04-06,62.837,62.594,-0.3867148336171411,-0.4102049628569619,,,
A_Auctions,2026-04-01,26249,26238,2026-03-30,2026-04-06,59.469,59.096,-0.6272175419126058,-0.4102049628569619,,,
A_Auctions,2026-04-01,26249,26240,2026-03-30,2026-04-06,62.649,62.173,-0.7597886638254336,-0.4102049628569619,,,
A_Auctions,2026-04-01,26249,26244,2026-03-30,2026-04-06,86.714,86.512,-0.23294969670411003,-0.4102049628569619,,,
A_Auctions,2026-04-01,26249,26245,2026-03-30,2026-04-06,88.789,88.672,-0.13177307999865384,-0.4102049628569619,,,
A_Auctions,2026-04-01,26249,26249,2026-03-30,2026-04-06,87.984,87.7,-0.32278596108382684,-0.4102049628569619,,,
A_Auctions,2026-04-08,26235,26230,2026-04-06,2026-04-13,62.594,62.473,-0.19330926286864614,0.1273362104625845,,,
A_Auctions,2026-04-08,26235,26238,2026-04-06,2026-04-13,59.096,59.23,0.226749695410855,0.1273362104625845,,,
A_Auctions,2026-04-08,26235,26240,2026-04-06,2026-04-13,62.173,62.109,-0.10293857462242428,0.1273362104625845,,,
A_Auctions,2026-04-08,26235,26244,2026-04-06,2026-04-13,86.512,86.801,0.3340577029776304,0.1273362104625845,,,
A_Auctions,2026-04-08,26235,26245,2026-04-06,2026-04-13,88.672,88.761,0.10036990256225842,0.1273362104625845,,,
A_Auctions,2026-04-08,26235,26249,2026-04-06,2026-04-13,87.7,88.05,0.3990877993158337,0.1273362104625845,,,
A_Auctions,2026-04-08,26254,26230,2026-04-06,2026-04-13,62.594,62.473,-0.19330926286864614,0.1273362104625845,,,
A_Auctions,2026-04-08,26254,26238,2026-04-06,2026-04-13,59.096,59.23,0.226749695410855,0.1273362104625845,,,
A_Auctions,2026-04-08,26254,26240,2026-04-06,2026-04-13,62.173,62.109,-0.10293857462242428,0.1273362104625845,,,
A_Auctions,2026-04-08,26254,26244,2026-04-06,2026-04-13,86.512,86.801,0.3340577029776304,0.1273362104625845,,,
A_Auctions,2026-04-08,26254,26245,2026-04-06,2026-04-13,88.672,88.761,0.10036990256225842,0.1273362104625845,,,
A_Auctions,2026-04-08,26254,26249,2026-04-06,2026-04-13,87.7,88.05,0.3990877993158337,0.1273362104625845,,,
A_Auctions,2026-04-15,26253,26230,2026-04-13,2026-04-20,62.473,63.422,1.5190562322923373,0.9316526655278268,,,
A_Auctions,2026-04-15,26253,26238,2026-04-13,2026-04-20,59.23,59.858,1.060273510045584,0.9316526655278268,,,
A_Auctions,2026-04-15,26253,26240,2026-04-13,2026-04-20,62.109,62.65,0.8710492843227113,0.9316526655278268,,,
